,0
0,Arkansas
1,Connecticut
2,Delaware
3,Idaho
4,Kansas
5,Kentucky
6,Louisiana
7,Massachusetts
8,Michigan
9,Minnesota
10,Mississippi
11,Missouri
12,Montana
13,Nebraska
14,Oklahoma
15,Oregon
16,Tennessee
17,Vermont
18,Wisconsin
19,Wyoming
